Train Epoch: [1/15] Iters:[690/20018] gen_loss 0.9280, rec_loss 0.0250, lpips_loss 0.1855, g_loss 0.1761, disc_weight 0.4000, disc_adaptive_weight 4.0761, d_loss 0.4692, logits_real -0.1766, logits_fake -0.1765,
Train Epoch: [1/15] Iters:[700/20018] gen_loss 0.9240, rec_loss 0.0253, lpips_loss 0.1853, g_loss 0.1754, disc_weight 0.4000, disc_adaptive_weight 4.0678, d_loss 0.4676, logits_real -0.1761, logits_fake -0.1759,
Train Epoch: [1/15] Iters:[710/20018] gen_loss 0.9259, rec_loss 0.0254, lpips_loss 0.1850, g_loss 0.1745, disc_weight 0.4000, disc_adaptive_weight 4.0975, d_loss 0.4659, logits_real -0.1753, logits_fake -0.1748,
Train Epoch: [1/15] Iters:[720/20018] gen_loss 0.9000, rec_loss 0.0253, lpips_loss 0.1842, g_loss 0.1733, disc_weight 0.4000, disc_adaptive_weight 3.9807, d_loss 0.4637, logits_real -0.1744, logits_fake -0.1738,
Train Epoch: [1/15] Iters:[730/20018] gen_loss 0.8886, rec_loss 0.0257, lpips_loss 0.1852, g_loss 0.1726, disc_weight 0.4000, disc_adaptive_weight 3.9293, d_loss 0.4626, logits_real -0.1737, logits_fake -0.1730,
Train Epoch: [1/15] Iters:[740/20018] gen_loss 0.9054, rec_loss 0.0260, lpips_loss 0.1853, g_loss 0.1717, disc_weight 0.4000, disc_adaptive_weight 4.0456, d_loss 0.4609, logits_real -0.1730, logits_fake -0.1721,
Train Epoch: [1/15] Iters:[750/20018] gen_loss 0.9176, rec_loss 0.0256, lpips_loss 0.1844, g_loss 0.1707, disc_weight 0.4000, disc_adaptive_weight 4.1444, d_loss 0.4594, logits_real -0.1721, logits_fake -0.1710,
Train Epoch: [1/15] Iters:[760/20018] gen_loss 0.9126, rec_loss 0.0254, lpips_loss 0.1851, g_loss 0.1700, disc_weight 0.4000, disc_adaptive_weight 4.1277, d_loss 0.4582, logits_real -0.1714, logits_fake -0.1703,
Train Epoch: [1/15] Iters:[770/20018] gen_loss 0.9207, rec_loss 0.0252, lpips_loss 0.1852, g_loss 0.1696, disc_weight 0.4000, disc_adaptive_weight 4.1878, d_loss 0.4565, logits_real -0.1708, logits_fake -0.1696,
Train Epoch: [1/15] Iters:[780/20018] gen_loss 0.8845, rec_loss 0.0249, lpips_loss 0.1844, g_loss 0.1689, disc_weight 0.4000, disc_adaptive_weight 3.9974, d_loss 0.4550, logits_real -0.1701, logits_fake -0.1689,
Train Epoch: [1/15] Iters:[790/20018] gen_loss 0.8313, rec_loss 0.0247, lpips_loss 0.1842, g_loss 0.1684, disc_weight 0.4000, disc_adaptive_weight 3.6956, d_loss 0.4536, logits_real -0.1693, logits_fake -0.1682,
Train Epoch: [1/15] Iters:[800/20018] gen_loss 0.8281, rec_loss 0.0250, lpips_loss 0.1852, g_loss 0.1681, disc_weight 0.4000, disc_adaptive_weight 3.6765, d_loss 0.4525, logits_real -0.1689, logits_fake -0.1678,
Train Epoch: [1/15] Iters:[810/20018] gen_loss 0.8366, rec_loss 0.0252, lpips_loss 0.1851, g_loss 0.1677, disc_weight 0.4000, disc_adaptive_weight 3.7349, d_loss 0.4511, logits_real -0.1684, logits_fake -0.1673,
Train Epoch: [1/15] Iters:[820/20018] gen_loss 0.7983, rec_loss 0.0253, lpips_loss 0.1848, g_loss 0.1674, disc_weight 0.4000, disc_adaptive_weight 3.5150, d_loss 0.4502, logits_real -0.1681, logits_fake -0.1672,
Train Epoch: [1/15] Iters:[830/20018] gen_loss 0.7929, rec_loss 0.0251, lpips_loss 0.1844, g_loss 0.1670, disc_weight 0.4000, disc_adaptive_weight 3.4944, d_loss 0.4493, logits_real -0.1678, logits_fake -0.1668,
Train Epoch: [1/15] Iters:[840/20018] gen_loss 0.8024, rec_loss 0.0250, lpips_loss 0.1843, g_loss 0.1667, disc_weight 0.4000, disc_adaptive_weight 3.5594, d_loss 0.4486, logits_real -0.1677, logits_fake -0.1666,
Train Epoch: [1/15] Iters:[850/20018] gen_loss 0.8265, rec_loss 0.0247, lpips_loss 0.1836, g_loss 0.1662, disc_weight 0.4000, disc_adaptive_weight 3.7219, d_loss 0.4471, logits_real -0.1670, logits_fake -0.1662,
Train Epoch: [1/15] Iters:[860/20018] gen_loss 0.8157, rec_loss 0.0249, lpips_loss 0.1838, g_loss 0.1656, disc_weight 0.4000, disc_adaptive_weight 3.6686, d_loss 0.4465, logits_real -0.1663, logits_fake -0.1656,
Train Epoch: [1/15] Iters:[870/20018] gen_loss 0.8049, rec_loss 0.0250, lpips_loss 0.1846, g_loss 0.1646, disc_weight 0.4000, disc_adaptive_weight 3.6158, d_loss 0.4453, logits_real -0.1653, logits_fake -0.1646,
Train Epoch: [1/15] Iters:[880/20018] gen_loss 0.8035, rec_loss 0.0253, lpips_loss 0.1853, g_loss 0.1640, disc_weight 0.4000, disc_adaptive_weight 3.6146, d_loss 0.4442, logits_real -0.1645, logits_fake -0.1638,
Train Epoch: [1/15] Iters:[890/20018] gen_loss 0.8332, rec_loss 0.0250, lpips_loss 0.1845, g_loss 0.1634, disc_weight 0.4000, disc_adaptive_weight 3.8150, d_loss 0.4429, logits_real -0.1638, logits_fake -0.1631,
Train Epoch: [1/15] Iters:[900/20018] gen_loss 0.7852, rec_loss 0.0254, lpips_loss 0.1860, g_loss 0.1626, disc_weight 0.4000, disc_adaptive_weight 3.5284, d_loss 0.4424, logits_real -0.1631, logits_fake -0.1623,
Train Epoch: [1/15] Iters:[910/20018] gen_loss 0.8061, rec_loss 0.0253, lpips_loss 0.1859, g_loss 0.1620, disc_weight 0.4000, disc_adaptive_weight 3.6714, d_loss 0.4416, logits_real -0.1625, logits_fake -0.1618,
Train Epoch: [1/15] Iters:[920/20018] gen_loss 0.8335, rec_loss 0.0252, lpips_loss 0.1846, g_loss 0.1619, disc_weight 0.4000, disc_adaptive_weight 3.8509, d_loss 0.4411, logits_real -0.1624, logits_fake -0.1615,
