Train Epoch: [1/10] Iters:[770/20018] gen_loss -0.5554, rec_loss 0.0235, lpips_loss 0.1780, g_loss -0.2028, disc_weight 0.4000, disc_adaptive_weight 3.7348, d_loss 0.4530, logits_real 0.2014, logits_fake 0.2029,
Train Epoch: [1/10] Iters:[780/20018] gen_loss -0.5557, rec_loss 0.0232, lpips_loss 0.1773, g_loss -0.2017, disc_weight 0.4000, disc_adaptive_weight 3.7513, d_loss 0.4511, logits_real 0.2002, logits_fake 0.2018,
Train Epoch: [1/10] Iters:[790/20018] gen_loss -0.6008, rec_loss 0.0231, lpips_loss 0.1771, g_loss -0.2006, disc_weight 0.4000, disc_adaptive_weight 3.9928, d_loss 0.4500, logits_real 0.1991, logits_fake 0.2005,
Train Epoch: [1/10] Iters:[800/20018] gen_loss -0.5616, rec_loss 0.0233, lpips_loss 0.1780, g_loss -0.1996, disc_weight 0.4000, disc_adaptive_weight 3.8200, d_loss 0.4487, logits_real 0.1981, logits_fake 0.1996,
Train Epoch: [1/10] Iters:[810/20018] gen_loss -0.5546, rec_loss 0.0236, lpips_loss 0.1781, g_loss -0.1987, disc_weight 0.4000, disc_adaptive_weight 3.8085, d_loss 0.4476, logits_real 0.1971, logits_fake 0.1984,
Train Epoch: [1/10] Iters:[820/20018] gen_loss -0.5073, rec_loss 0.0237, lpips_loss 0.1781, g_loss -0.1978, disc_weight 0.4000, disc_adaptive_weight 3.5865, d_loss 0.4465, logits_real 0.1963, logits_fake 0.1974,
Train Epoch: [1/10] Iters:[830/20018] gen_loss -0.5051, rec_loss 0.0237, lpips_loss 0.1774, g_loss -0.1968, disc_weight 0.4000, disc_adaptive_weight 3.5886, d_loss 0.4455, logits_real 0.1953, logits_fake 0.1966,
Train Epoch: [1/10] Iters:[840/20018] gen_loss -0.4868, rec_loss 0.0236, lpips_loss 0.1772, g_loss -0.1956, disc_weight 0.4000, disc_adaptive_weight 3.5159, d_loss 0.4445, logits_real 0.1942, logits_fake 0.1957,
Train Epoch: [1/10] Iters:[850/20018] gen_loss -0.5654, rec_loss 0.0234, lpips_loss 0.1764, g_loss -0.1945, disc_weight 0.4000, disc_adaptive_weight 3.9377, d_loss 0.4435, logits_real 0.1931, logits_fake 0.1944,
Train Epoch: [1/10] Iters:[860/20018] gen_loss -0.5942, rec_loss 0.0236, lpips_loss 0.1766, g_loss -0.1932, disc_weight 0.4000, disc_adaptive_weight 4.1196, d_loss 0.4428, logits_real 0.1920, logits_fake 0.1933,
